iter	RMSE
0	2.814963208
1	2.741786665
2	2.673293754
3	2.61092001
4	2.551063283
5	2.496550184
6	2.445065539
7	2.398391796
8	2.354714915
9	2.31534379
10	2.278372835
11	2.24477128
12	2.213235406
13	2.183694133
14	2.155642452
15	2.130355523
16	2.106845975
17	2.085777334
18	2.06514395
19	2.046505256
20	2.029759486
21	2.014556957
22	1.999745803
23	1.986133473
24	1.973867074
25	1.963014228
26	1.9525723
27	1.94275565
28	1.933581972
29	1.925074628
30	1.916581317
31	1.908695355
32	1.90214372
33	1.895516216
34	1.889720247
35	1.883754661
36	1.878556437
37	1.873543392
38	1.868461511
39	1.864017567
40	1.860152827
41	1.856340314
42	1.852838155
43	1.849602988
44	1.846494786
45	1.842756834
46	1.839512393
47	1.836955163
48	1.832718517
49	1.830046804
50	1.827195695
51	1.823291999
52	1.821290979
53	1.819129524
54	1.816667938
55	1.81434564
56	1.812457785
57	1.810429788
58	1.808692927
59	1.806542592
60	1.805097553
61	1.803169055
62	1.800801945
63	1.799400768
64	1.797672772
65	1.796142666
66	1.794504716
67	1.793184021
68	1.791981393
69	1.789870108
70	1.787564115
71	1.786435998
72	1.784118804
73	1.782783512
74	1.780613167
75	1.779344861
76	1.778150837
77	1.776945057
78	1.775213035
79	1.773911781
80	1.772684479
81	1.771781717
82	1.770597754
83	1.769356069
84	1.768326927
85	1.76741535
86	1.766477488
87	1.765582934
88	1.764544618
89	1.76368529
90	1.761526277
91	1.760405658
92	1.759456226
93	1.758259926
94	1.757207621
95	1.756045372
96	1.755285128
97	1.754531041
98	1.753309833
99	1.751991022
100	1.750786744
101	1.749278364
102	1.748518323
103	1.747863715
104	1.745732969
105	1.744973636
106	1.744208971
107	1.742340972
108	1.74126556
109	1.740510845
110	1.739675151
111	1.738796557
112	1.737965467
113	1.736785468
114	1.735917076
115	1.735185999
116	1.734313402
117	1.733723737
118	1.732591745
119	1.731929096
120	1.731065526
121	1.7296455
122	1.728206793
123	1.727099699
124	1.726012195
125	1.724916826
126	1.723963664
127	1.722763939
128	1.722349404
129	1.721339247
130	1.720742847
131	1.720249999
132	1.719622996
133	1.718768503
134	1.717212441
135	1.716633645
136	1.715984703
137	1.714695058
138	1.714071051
139	1.713504899
140	1.712927474
141	1.712300668
142	1.71052645
143	1.709379494
144	1.708960092
145	1.707624667
146	1.706017895
147	1.705416409
148	1.704560916
149	1.704157758
150	1.703528394
151	1.703143542
152	1.701697719
153	1.701067117
154	1.6999039
155	1.698527444
156	1.697969489
157	1.697453275
158	1.696587976
159	1.695820632
160	1.695198934
161	1.694290376
162	1.693552533
163	1.692709102
164	1.691422704
165	1.690815306
166	1.690467512
167	1.690007656
168	1.689513717
169	1.688916668
170	1.688310363
171	1.687407346
172	1.686640903
173	1.685417393
174	1.684405582
175	1.683372301
176	1.682877674
177	1.682136656
178	1.681418322
179	1.680939909
180	1.680282925
181	1.679666706
182	1.678888155
183	1.677951317
184	1.6774601
185	1.676862782
186	1.676187513
187	1.675360248
188	1.674651436
189	1.674038601
190	1.672819566
191	1.672110217
192	1.671671374
193	1.67130815
194	1.670681365
195	1.670063118
196	1.668907176
197	1.668157397
198	1.667412399
199	1.667070664
