iter	Passed	Remaining
0	82	41307
1	112	28010
2	134	22258
3	146	18112
4	155	15381
5	163	13434
6	170	12035
7	176	10854
8	182	9935
9	187	9202
10	193	8600
11	199	8110
12	205	7684
13	211	7329
14	217	7033
15	223	6763
16	229	6523
17	235	6305
18	242	6132
19	247	5950
20	254	5805
21	260	5655
22	266	5527
23	272	5397
24	277	5278
25	283	5166
26	289	5065
27	294	4970
28	300	4879
29	306	4795
30	311	4710
31	317	4637
32	322	4566
33	328	4500
34	334	4441
35	340	4384
36	350	4381
37	360	4379
38	365	4324
39	371	4276
40	377	4223
41	382	4173
42	388	4129
43	394	4085
44	400	4048
45	405	4006
46	412	3972
47	418	3941
48	424	3905
49	429	3869
50	435	3832
51	441	3801
52	446	3769
53	452	3733
54	457	3704
55	463	3678
56	470	3654
57	475	3623
58	484	3623
59	490	3595
60	497	3582
61	503	3556
62	510	3539
63	516	3516
64	522	3493
65	527	3470
66	534	3452
67	539	3429
68	545	3407
69	551	3385
70	557	3365
71	562	3343
72	568	3324
73	575	3314
74	581	3294
75	587	3275
76	592	3255
77	598	3239
78	605	3225
79	610	3206
80	616	3188
81	621	3169
82	627	3154
83	633	3136
84	638	3118
85	645	3107
86	650	3090
87	656	3074
88	662	3058
89	669	3047
90	675	3034
91	681	3021
92	687	3007
93	693	2993
94	698	2979
95	704	2964
96	713	2963
97	719	2950
98	725	2937
99	731	2924
100	737	2911
101	742	2898
102	748	2885
103	754	2872
104	760	2860
105	765	2846
106	771	2833
107	779	2828
108	785	2819
109	791	2807
110	797	2794
111	803	2782
112	808	2769
113	814	2757
114	820	2746
115	825	2734
116	834	2730
117	839	2718
118	845	2707
119	851	2695
120	857	2685
121	862	2673
122	869	2663
123	874	2650
124	879	2639
125	886	2632
126	892	2621
127	903	2625
128	914	2629
129	929	2646
130	942	2654
131	949	2648
132	960	2650
133	970	2651
134	981	2652
135	990	2651
136	998	2646
137	1011	2652
138	1016	2641
139	1023	2630
140	1028	2619
141	1034	2607
142	1040	2596
143	1046	2586
144	1051	2573
145	1056	2562
146	1062	2551
147	1070	2546
148	1076	2535
149	1083	2527
