model,category,best_buffer,service_level,stockout_rate,mean_understock_units,mean_overstock_units,weighted_inventory_cost
catboost,1,0.3,0.6,0.4,0.3174407920134551,0.6026763872806893,21.89880347347965
catboost,60,0.3,0.8,0.2,0.09739806449579971,0.9462250176990551,14.332153401780538
catboost,81,0.2,0.9,0.1,0.12008484398263812,1.6365180733229927,22.369422932361832
catboost,82,0.3,0.6,0.4,0.12269977828312766,0.15441338398435595,7.679122753999942
catboost,184,0.0,0.7,0.3,0.05578307978703384,0.6283799313297472,9.072953302649164
extra_trees,1,0.3,0.5,0.5,0.34144985713965287,0.8336070752436179,25.408563609418824
extra_trees,60,0.3,0.7,0.3,0.052991635491959864,0.9492940618454092,12.142522393052086
extra_trees,81,0.3,0.7,0.3,0.13483522865959344,1.6757335090621452,23.499096523601125
extra_trees,82,0.3,0.5,0.5,0.14077459197216863,0.10804808148451783,8.119210413453608
extra_trees,184,0.0,0.6,0.4,0.08780888992149327,0.5929194670504226,10.31963916657889
gbr,1,0.3,0.6,0.4,0.26739302020727485,0.8622373683473203,21.992024693836946
gbr,60,0.15,0.7,0.3,0.13381653853648506,0.6790559533911265,13.481386460735518
gbr,81,0.2,0.7,0.3,0.1465566207184757,1.7896535053600544,25.22436608952433
gbr,82,0.3,0.7,0.3,0.12189686816536649,0.16725040461240243,7.767347454392349
gbr,184,0.0,0.6,0.4,0.1047643657527132,0.42936908020022424,9.531909089637903
lgbm,1,0.3,0.7,0.3,0.19532333012391906,0.9320730788386509,19.086897294582464
lgbm,60,0.2,0.7,0.3,0.06194875530398351,0.6299384067873376,9.396821833072552
lgbm,81,0.05,0.7,0.3,0.12872715119591177,1.5136950317118747,21.573307876914335
lgbm,82,0.3,0.6,0.4,0.13562879978293554,0.11220007010139721,7.903440690160749
lgbm,184,0.0,0.8,0.2,0.05920507149827673,0.6642142038899859,9.602395613813695
rf,1,0.3,0.6,0.4,0.22644862031736043,0.6277825373256434,17.600256389124453
rf,60,0.3,0.8,0.2,0.08068228391783676,0.9501201261948428,13.535315457840266
rf,81,0.3,0.9,0.1,0.0974668008658007,1.7778039302898823,22.651379346188858
rf,82,0.3,0.6,0.4,0.0803279713681125,0.18009846558881448,5.817383224293769
rf,184,0.0,0.6,0.4,0.06955781358364352,0.7822460302568179,11.300350981750356
xgb,1,0.3,0.7,0.3,0.15158043861389148,0.7742494651146268,15.321516581840843
xgb,60,0.3,0.8,0.2,0.05092022281426649,1.0491105077781957,13.037116218495282
xgb,81,0.2,0.7,0.3,0.08176339603605717,1.4194247921491279,18.282417723294138
xgb,82,0.3,0.4,0.6,0.1244466442822975,0.1509916665405035,7.73224887951991
xgb,184,0.0,0.7,0.3,0.04782141208648686,0.6824556069796158,9.215626674120502
